# resultKey,testId,value,unit,biggerIsBetter,toleranceStdDevs,samples,stdDev,#runDetails:#,outDirName=win,hostname=sag-f4lblq2,os=Windows 10 10.0.18362 SP0,vcsCommit=04344ce8,startTime=2020-08-27 23:27:19
MyServer /sensorValues response throughput rate with None,Outcome_PerformanceInspect,194.72543104368793,/s,TRUE,,1,0
MyServer /sensorValues response latency median with None,Outcome_PerformanceInspect,7961750.030517578,ns,FALSE,,1,0,#resultDetails:#,latencySamples=10
MyServer /sensorValues response latency max with None,Outcome_PerformanceInspect,9900093.078613281,ns,FALSE,,1,0,#resultDetails:#,latencySamples=10
